2,153,2,2017-4-26
3,484,3,2017-10-27
4,443,4,2017-9-21
5,377,5,2018-10-23
6,350,6,2019-10-13
7,78,7,2018-6-5
8,153,8,2014-1-24
10,68,10,2016-1-11
11,95,11,2016-6-15
12,442,12,2018-7-9
13,433,13,2016-11-10
14,274,14,2016-5-5
15,63,15,2019-3-22
16,98,16,2017-9-20
17,92,17,2019-1-13
18,20,18,2016-8-26
19,411,19,2018-1-27
20,279,20,2019-4-9
21,415,21,2016-12-8
23,7,23,2019-6-3
24,105,24,2016-12-23
25,471,25,2015-5-5
26,167,26,2018-5-11
29,267,29,2017-9-27
31,114,31,2018-9-2
32,437,32,2017-3-12
34,174,34,2017-9-10
35,443,35,2018-8-16
36,270,36,2016-6-4
37,465,37,2014-7-26
38,492,38,2018-7-19
39,46,39,2014-8-26
40,133,40,2014-4-7
41,458,41,2016-11-22
42,60,42,2015-11-13
46,330,46,2017-9-6
48,283,48,2015-12-14
49,167,49,2018-12-6
51,409,51,2019-11-19
52,131,52,2016-11-23
53,456,53,2016-1-19
55,419,55,2015-3-10
56,146,56,2017-8-19
57,132,57,2014-2-2
58,370,58,2016-6-3
59,444,59,2016-11-10
61,279,61,2019-1-26
62,109,62,2014-10-22
63,51,63,2016-5-6
64,140,64,2016-1-18
65,473,65,2015-3-6
66,52,66,2017-4-23
67,351,67,2019-9-19
68,332,68,2019-9-14
69,84,69,2015-8-7
70,168,70,2017-3-6
71,183,71,2018-4-22
72,422,72,2018-9-19
73,161,73,2017-1-12
74,292,74,2018-4-17
75,319,75,2014-5-15
76,444,76,2015-10-22
77,417,77,2016-7-14
78,476,78,2017-2-27
79,54,79,2016-12-17
82,435,82,2016-1-16
83,182,83,2014-8-18
85,305,85,2016-12-5
86,101,86,2018-7-14
88,277,88,2014-1-20
89,391,89,2019-11-15
90,361,90,2018-9-6
91,338,91,2016-6-3
92,343,92,2015-9-10
93,486,93,2019-8-11
94,27,94,2019-2-16
95,237,95,2018-7-21
98,489,98,2014-9-20
99,61,99,2015-11-3
100,79,100,2018-12-19
101,449,101,2016-8-21
102,113,102,2016-8-25
104,492,104,2014-5-28
105,361,105,2015-9-7
106,456,106,2015-7-2
108,253,108,2014-10-19
109,426,109,2016-5-15
110,132,110,2018-11-5
112,92,112,2014-7-6
113,363,113,2017-10-28
114,33,114,2019-4-8
117,421,117,2017-8-10
118,418,118,2016-1-15
119,472,119,2018-6-28
120,90,120,2017-8-24
121,191,121,2018-10-4
122,176,122,2017-6-10
124,152,124,2014-9-27
126,254,126,2017-12-20
131,20,131,2017-1-7
132,443,132,2018-11-11
133,148,133,2018-8-1
136,381,136,2015-11-14
137,222,137,2019-4-24
138,124,138,2018-4-8
140,394,140,2018-2-15
143,22,143,2017-5-8
144,324,144,2014-6-11
146,249,146,2015-6-28
147,441,147,2016-3-14
149,389,149,2014-8-26
150,453,150,2017-4-11
151,214,151,2018-6-10
153,371,153,2015-8-15
154,410,154,2018-10-18
156,415,156,2016-7-2
160,298,160,2014-1-11
161,387,161,2016-3-24
162,412,162,2019-9-2
163,203,163,2018-1-10
164,385,164,2015-2-23
165,44,165,2014-1-28
166,23,166,2019-12-16
167,100,167,2019-10-10
168,336,168,2015-3-4
169,57,169,2014-2-5
170,359,170,2016-10-16
171,348,171,2016-7-10
172,151,172,2017-3-1
173,414,173,2015-7-9
174,73,174,2016-7-26
175,396,175,2018-5-4
176,174,176,2014-4-14
177,143,177,2018-3-16
178,417,178,2017-6-23
180,244,180,2017-11-21
181,440,181,2016-11-18
182,41,182,2017-4-17
183,27,183,2017-2-1
184,365,184,2018-9-4
185,384,185,2014-5-3
186,159,186,2016-7-28
187,69,187,2018-9-13
189,344,189,2019-11-5
190,426,190,2017-12-25
191,332,191,2016-5-17
192,205,192,2014-1-8
193,162,193,2015-11-4
195,449,195,2016-2-22
196,379,196,2015-1-18
200,325,200,2019-1-19
201,468,201,2018-7-13
202,208,202,2018-3-7
203,139,203,2016-7-24
204,307,204,2014-2-8
206,242,206,2015-3-27
207,138,207,2018-7-1
208,11,208,2016-2-23
209,192,209,2019-9-8
210,205,210,2014-3-28
211,346,211,2014-1-16
212,487,212,2014-6-11
213,260,213,2018-9-8
214,215,214,2018-2-17
215,434,215,2014-7-4
217,480,217,2016-6-10
218,43,218,2015-10-24
221,500,221,2014-2-13
222,271,222,2018-3-7
224,333,224,2016-1-24
225,66,225,2018-2-6
226,443,226,2015-3-27
227,388,227,2018-12-3
228,455,228,2016-7-25
229,41,229,2017-2-27
230,288,230,2018-11-22
232,355,232,2016-6-3
233,184,233,2017-10-6
237,35,237,2016-4-23
241,269,241,2015-11-20
242,311,242,2014-12-13
243,189,243,2015-6-25
244,334,244,2015-6-7
246,81,246,2016-4-25
247,230,247,2019-3-21
248,196,248,2019-9-3
249,303,249,2015-5-23
252,228,252,2018-2-3
253,17,253,2017-4-3
254,231,254,2014-2-26
255,70,255,2016-12-19
256,178,256,2015-9-20
258,333,258,2016-3-27
259,209,259,2019-3-13
260,376,260,2015-11-28
262,308,262,2018-1-27
263,470,263,2015-4-12
264,379,264,2017-10-12
265,496,265,2014-2-14
266,356,266,2014-2-3
267,334,267,2019-3-17
268,187,268,2019-3-26
269,174,269,2019-3-14
271,182,271,2015-8-3
272,395,272,2017-5-6
273,419,273,2017-10-20
274,334,274,2015-8-18
275,190,275,2018-10-22
277,63,277,2017-12-24
278,223,278,2015-2-11
279,259,279,2016-7-17
