11,131,95,11,14,2018-12-28,2018-12-28
14,83,274,14,122,2019-12-12,2019-12-18
17,62,92,17,119,2019-10-27,2019-12-28
23,279,7,23,72,2019-11-28,2019-12-28
29,425,267,29,194,2018-12-28,2019-12-28
34,51,174,34,111,2019-12-27,2019-12-28
35,240,443,35,454,2019-11-28,2019-11-28
38,327,492,38,243,2019-11-26,2019-11-28
41,394,458,41,120,2019-12-28,2019-12-28
46,194,330,46,63,2019-12-28,2019-12-28
48,140,283,48,27,2017-12-27,2018-12-28
49,22,167,49,63,2019-12-22,2019-12-23
52,150,131,52,143,2019-12-28,2019-12-28
55,300,419,55,50,2019-12-28,2019-12-28
56,320,146,56,62,2019-11-27,2019-11-27
67,385,351,67,119,2019-12-24,2019-12-27
70,241,168,70,2,2017-9-28,2019-10-28
71,113,183,71,20,2019-12-27,2019-12-28
73,448,161,73,102,2019-12-21,2019-12-28
74,286,292,74,86,2019-11-22,2019-12-23
78,43,476,78,73,2019-11-28,2019-12-28
92,422,343,92,136,2016-12-28,2016-12-28
95,80,237,95,113,2018-12-28,2019-12-28
100,34,79,100,70,2018-12-27,2018-12-27
106,149,456,106,70,2019-12-27,2019-12-27
114,370,33,114,93,2019-12-24,2019-12-27
119,259,472,119,110,2019-11-28,2019-12-28
122,104,176,122,625,2019-12-28,2019-12-28
131,393,20,131,91,2018-10-28,2018-12-28
136,492,381,136,599,2019-11-25,2019-12-26
149,377,389,149,152,2018-12-28,2018-12-28
151,133,214,151,27,2019-10-27,2019-11-27
160,38,298,160,60,2019-10-28,2019-11-28
161,342,387,161,121,2019-12-28,2019-12-28
162,251,412,162,42,2019-12-22,2019-12-23
164,416,385,164,28,2019-10-27,2019-10-27
168,227,336,168,121,2018-12-28,2019-12-28
170,464,359,170,101,2019-12-27,2019-12-27
174,173,73,174,231,2019-12-28,2019-12-28
178,424,417,178,13,2019-10-28,2019-11-28
180,205,244,180,413,2019-12-28,2019-12-28
187,146,69,187,13,2019-11-28,2019-12-28
189,50,344,189,63,2019-12-23,2019-12-23
190,58,426,190,42,2019-12-28,2019-12-28
195,209,449,195,99,2019-12-28,2019-12-28
196,151,379,196,128,2019-6-27,2019-6-28
201,383,468,201,147,2019-12-28,2019-12-28
202,199,208,202,46,2019-11-28,2019-11-28
206,355,242,206,14,2019-12-27,2019-12-27
209,408,192,209,88,2019-12-28,2019-12-28
